Date,Price,Open,Low,High,Volume,Change
2018-02-13,133.2,133.15,134.0,133.15,0.6,0.06
2018-02-12,133.12,131.01,134.39,131.01,0.88,1.62
2018-02-09,131.0,133.9,133.9,130.0,3.21,-2.24
2018-02-08,134.0,132.6,134.0,132.6,0.82,1.06
2018-02-07,132.6,134.41,136.0,132.6,3.12,-1.35
2018-02-06,134.41,133.9,134.41,133.9,4.48,0.58
2018-02-05,133.63,133.0,134.0,133.0,2.4,1.23
2018-02-02,132.0,129.75,133.64,129.75,8.11,1.77
2018-02-01,129.7,129.5,129.74,129.1,2.89,0.31
2018-01-31,129.3,127.8,129.3,127.8,3.56,1.21
2018-01-30,127.76,126.98,127.8,126.98,1.98,0.61
2018-01-29,126.99,127.0,127.0,126.1,2.07,-0.01
2018-01-26,127.0,129.0,129.0,127.0,3.65,-0.7
2018-01-25,127.9,128.11,128.11,125.13,1.18,-0.16
2018-01-24,128.1,128.0,128.16,127.6,1.53,0.39
2018-01-23,127.6,127.51,128.0,127.5,2.01,1.59
2018-01-22,125.6,128.49,128.49,125.13,5.04,-1.1
2018-01-19,127.0,129.0,129.0,127.0,1.82,-1.55
2018-01-18,129.0,128.3,131.5,126.5,3.94,2.06
2018-01-17,126.4,125.1,126.5,125.1,4.23,1.12
2018-01-16,125.0,124.9,125.0,124.0,3.54,0.08
2018-01-15,124.9,126.0,126.0,124.0,9.02,-0.08
2018-01-12,125.0,122.9,125.0,122.1,4.01,2.46
2018-01-11,122.0,120.83,122.9,120.83,2.77,1.46
2018-01-10,120.24,121.5,121.9,120.0,0.77,-1.36
2018-01-09,121.9,123.9,123.9,121.9,0.88,-0.51
2018-01-08,122.53,120.9,123.9,120.9,3.08,2.19
2018-01-05,119.9,118.5,120.0,118.5,1.96,1.18
2018-01-04,118.5,120.0,120.0,118.08,0.72,-1.25
2018-01-03,120.0,118.0,120.0,117.4,0.97,1.61
2018-01-02,118.1,120.0,120.0,118.0,2.9,-3.2
2017-12-29,122.0,121.0,122.0,120.99,4.0,0.66
2017-12-28,121.2,122.0,122.0,121.0,1.32,0.08
2017-12-27,121.1,120.8,122.0,120.8,3.72,0.92
2017-12-26,120.0,118.0,120.0,118.0,2.41,1.69
2017-12-25,118.0,118.01,118.01,117.61,0.77,-0.01
2017-12-22,118.01,118.01,118.01,118.0,0.62,0.0
2017-12-21,118.01,118.0,118.98,118.0,0.33,0.01
2017-12-20,118.0,117.7,118.0,117.0,2.81,0.0
2017-12-19,118.0,118.01,118.01,117.8,2.14,-0.01
2017-12-18,118.01,119.01,119.01,118.01,20.62,-0.83
2017-12-15,119.0,119.0,119.0,119.0,0.23,0.0
2017-12-14,119.0,119.98,119.98,119.0,1.54,-0.53
2017-12-13,119.63,120.0,120.0,119.63,0.9,-0.31
2017-12-12,120.0,120.01,120.01,120.0,0.7,-0.17
2017-12-11,120.2,120.05,120.2,119.65,2.17,0.17
2017-12-08,120.0,120.02,120.5,119.61,1.91,-0.02
2017-12-07,120.02,119.56,120.98,119.56,0.37,-0.37
2017-12-06,120.47,119.5,120.48,119.5,0.76,-0.01
2017-12-05,120.48,119.98,120.5,119.98,1.22,0.4
2017-12-04,120.0,117.51,120.5,117.51,1.28,0.03
2017-11-30,119.96,117.5,119.98,117.4,4.57,2.18
2017-11-29,117.4,117.0,117.4,117.0,1.11,0.77
2017-11-28,116.5,116.5,116.5,116.02,1.27,0.0
2017-11-27,116.5,116.99,116.99,114.99,2.02,0.87
2017-11-24,115.5,115.0,116.5,115.0,6.45,0.61
2017-11-23,114.8,114.6,114.99,114.6,0.71,0.0
2017-11-22,114.8,114.9,114.9,114.1,0.07,0.26
2017-11-21,114.5,114.5,114.5,114.17,0.22,0.44
2017-11-20,114.0,114.0,114.5,114.0,0.73,0.09
2017-11-17,113.9,113.9,113.9,113.6,0.5,0.26
2017-11-16,113.6,113.9,114.0,113.6,2.14,-0.35
2017-11-15,114.0,113.9,114.5,113.9,3.17,0.09
2017-11-14,113.9,114.0,114.4,113.9,2.16,-0.09
2017-11-13,114.0,114.1,114.1,114.0,1.43,-0.1
2017-11-10,114.11,114.11,114.12,114.11,0.38,0.1
2017-11-09,114.0,115.0,115.0,114.0,5.56,-0.87
2017-11-08,115.0,115.0,115.0,114.5,1.63,0.0
2017-11-07,115.0,114.01,115.0,114.0,1.75,0.45
2017-11-06,114.49,113.9,114.49,113.9,0.34,0.42
2017-11-02,114.01,114.0,114.01,114.0,0.34,0.01
2017-11-01,114.0,114.0,114.0,114.0,0.05,0.0
2017-10-31,114.0,113.9,114.0,113.9,0.56,0.0
2017-10-30,114.0,114.5,114.5,114.0,1.4,-0.04
2017-10-27,114.05,114.04,114.05,114.02,0.14,0.04
2017-10-26,114.0,115.5,115.5,114.0,1.17,-1.08
2017-10-25,115.25,115.5,115.5,115.25,0.25,0.04
2017-10-24,115.2,114.98,116.0,114.98,0.17,0.61
2017-10-23,114.5,114.4,114.75,114.2,0.62,0.26
2017-10-20,114.2,114.1,114.2,114.1,0.16,0.18
2017-10-19,114.0,114.05,114.05,114.0,0.68,-0.44
2017-10-18,114.5,114.8,114.8,114.0,1.3,-0.26
2017-10-17,114.8,114.8,115.0,114.8,4.64,0.01
2017-10-16,114.79,115.5,115.5,114.79,7.67,-0.61
2017-10-13,115.5,115.5,115.7,115.26,0.93,-1.2
2017-10-12,116.9,115.51,116.9,115.5,0.34,1.2
2017-10-11,115.51,116.9,116.9,115.51,0.15,-0.42
2017-10-10,116.0,116.0,116.98,116.0,2.68,0.0
2017-10-09,116.0,116.5,116.79,116.0,1.94,-0.68
2017-10-06,116.79,115.7,116.79,115.7,0.21,0.77
2017-10-05,115.9,115.9,115.9,115.9,0.05,0.78
2017-10-04,115.0,115.0,115.03,115.0,14.68,0.31
2017-10-03,114.65,114.62,114.65,114.62,0.06,0.03
2017-10-02,114.62,114.62,114.62,114.51,0.12,0.0
2017-09-29,114.62,116.29,116.29,114.62,0.38,-0.33
2017-09-28,115.0,116.3,116.3,115.0,4.18,-1.12
2017-09-27,116.3,116.3,116.3,116.0,3.87,0.0
2017-09-26,116.3,116.8,116.8,116.3,4.32,-0.17
2017-09-25,116.5,116.51,116.51,116.5,0.65,-0.26
2017-09-22,116.8,116.8,118.0,116.8,0.52,0.0
2017-09-20,116.8,116.8,116.8,116.8,0.15,0.17
2017-09-19,116.6,117.1,117.1,116.6,1.51,-1.27
2017-09-18,118.1,118.2,118.2,118.1,0.16,1.8
2017-09-15,116.01,118.0,118.0,116.01,0.52,0.01
2017-09-14,116.0,118.45,118.49,116.0,0.76,-0.13
2017-09-13,116.15,118.99,118.99,116.15,5.81,-2.31
2017-09-12,118.9,116.0,118.9,114.5,1.3,4.3
2017-09-11,114.0,115.99,115.99,114.0,0.66,-0.87
2017-09-08,115.0,116.0,116.0,114.5,0.27,0.88
2017-09-07,114.0,114.9,114.9,113.5,1.59,-0.7
2017-09-06,114.8,115.49,115.49,114.8,0.43,-0.17
2017-09-05,115.0,116.99,116.99,115.0,1.55,-1.7
2017-09-04,116.99,117.0,117.0,116.6,1.49,-0.43
2017-08-31,117.5,119.0,119.0,117.0,1.23,-1.22
2017-08-30,118.95,122.6,122.6,118.95,2.48,-0.15
2017-08-29,119.13,114.1,119.13,114.1,2.29,4.5
2017-08-28,114.0,114.0,114.0,113.5,0.12,0.44
2017-08-25,113.5,111.6,113.5,111.6,2.68,2.76
2017-08-24,110.45,111.0,111.5,110.45,0.76,-0.5
2017-08-23,111.0,112.0,112.0,111.0,0.77,0.0
2017-08-22,111.0,111.0,112.0,111.0,0.26,0.9
2017-08-21,110.01,112.0,112.0,110.01,0.03,0.01
2017-08-18,110.0,110.0,112.0,109.0,0.75,0.0
2017-08-17,110.0,111.99,111.99,110.0,0.23,0.0
2017-08-16,110.0,110.0,111.9,110.0,0.42,0.01
2017-08-15,109.99,110.0,110.0,109.99,0.48,-0.01
2017-08-14,110.0,110.0,110.0,110.0,0.09,0.0
2017-08-11,110.0,110.0,110.0,109.99,0.5,0.01
2017-08-10,109.99,109.99,109.99,109.99,0.02,-0.01
2017-08-09,110.0,108.42,110.0,108.42,0.06,0.0
2017-08-08,110.0,110.0,110.0,110.0,0.08,1.48
2017-08-07,108.4,108.3,108.4,108.3,0.05,0.37
2017-08-04,108.0,108.0,108.0,108.0,0.07,0.93
2017-08-03,107.0,106.0,107.0,105.0,0.73,0.94
2017-08-02,106.0,106.0,106.0,105.0,0.41,0.95
2017-08-01,105.0,105.5,105.5,105.0,0.67,-0.94
2017-07-31,106.0,107.5,107.5,106.0,1.22,-0.09
2017-07-28,106.1,107.8,107.8,106.1,0.84,0.0
